sections,summaries
"The voters of the State of Colorado find and declare that: Colorado’s current approach to mental health has failed to fulfill its promise. Coloradans deserve more tools to address mental health issues, including approaches such as natural medicines that are grounded in treatment, recovery, health, and wellness rather than criminalization, stigma, suffering, and punishment. Coloradans are experiencing problematic mental health issues, including but not limited to suicidality, addiction, depression, and anxiety. An extensive and growing body of research is advancing to support the efficacy of natural medicines combined with psychotherapy as treatment for depression, anxiety, substance use disorders, end-of-life distress, and other conditions. The federal government will take years to act and Coloradans deserve the right to access natural medicines now. Natural medicines have been used safely for millennia by cultures for healing. Colorado can better promote health and healing by reducing its focus on criminal punishments for persons who suffer mental health issues and by establishing regulated access to natural medicines through a humane, cost-effective, and responsible approach. The City and County of Denver voters enacted ordinance in May to make the adult personal possession and use of the natural medicine psilocybin the lowest law enforcement priority in the City and County of Denver and to prohibit the City and County from spending resources on enforcing related penalties. Oregon voters enacted a Measure in Oregon in November to establish a regulated system of delivering a natural medicine, in part to provide people access to psilocybin for therapeutic purposes. Criminalizing natural medicines has denied people from accessing accurate education and harm reduction information related to the use of natural medicines, and limited the development of appropriate training for first- and multi-responders including law enforcement, emergency medical services, social services, and fire services. The purpose of this Natural Medicine Health Act is to establish a new, compassionate, and effective approach to natural medicines by: adopting a public health and harm reduction approach to natural medicines by removing criminal penalties for personal use for adults twenty-one years of age and older developing and promoting public education related to the use of natural medicines and appropriate training for first responders; and establishing regulated access by adults twenty-one years of age and older to natural medicines that show promise in improving well-being, life satisfaction, and overall health. The provisions of this article shall be interpreted consistently with the findings and purposes stated in this section and shall not be limited by any Colorado law that could conflict with or be interpreted to conflict with the purposes and policy objectives stated in this section. The people of the State of Colorado further find and declare that it is necessary to ensure consistency and fairness in the application of this article throughout the state and that, therefore, the matters addressed by this article are, except as specified herein, matters of statewide concern. Definitions. As used in this article, unless the context otherwise requires: “administration session” means a session held at a healing center or another location as permitted by rules adopted by the department at which a participant purchases, consumes, and experiences the effects of a natural medicine under the supervision of a facilitator. “Department ” means the department of regulatory agencies. “Facilitator” means a person licensed by the department who: is twenty-one years of age or older; has agreed to provide natural medicine services to a participant; has met the requirements established by the department. “Healing center” means an entity licensed by the department that is organized and operated as a permitted organization: that acquires, possesses, cultivates, manufactures, delivers, transfers, transports, supplies, sells, or dispenses natural medicine and related supplies; or provides natural medicine for natural medicine services at locations permitted by the department; or engages in two or more of these activities; where administration sessions are held; or  where natural medicine services are provided by a facilitator. “Health-care facility” means a hospital, hospice, community mental health center, federally qualified health center, rural health clinic, pace organization, long-term care facility, a continuing care retirement community, or other type of facility where health-care is provided. “Integration session” means a meeting between a participant and facilitator that occurs after the participant has completed an administration session. “Locality” means a county, municipality, or city and county. “Natural medicine” means the following substances in any form that would cause such plant or fungus to be described in the “uniform controlled substances act:” dimethyltryptamine; ibogaine; mescaline (excluding lophophora williamsii); psilocybin; or psilocyn. “Natural medicine services” means services provided by a facilitator or other authorized person to a participant before, during, and after the participant’s consumption of natural medicine, including, at a minimum at: a preparation session; an administration session; and an integration session. “Participant” means a person twenty-one years of age or older who receives natural medicine services. “Permitted organization” means any legal entity registered and qualified to do business in the State of Colorado that meets the standards set by the department. “Preparation session” means a meeting between a participant and a facilitator that occurs before the participant participates in the administration session.","Colorado can better promote health and healing by reducing its focus on criminal punishments for persons who suffer mental health issues. Colorado can better promote health and healing by reducing its focus on criminal punishments for persons who suffer mental health issues. The purpose of this Natural Medicine Health Act is to establish a new, compassionate, and effective approach to natural medicines."
"Regulated Natural Medicine Access Program. The Regulated Natural Medicine Access Program is established and the department shall regulate the manufacture, cultivation, testing, storage, transfer, transport, delivery, sale, and purchase of natural medicines by and between healing centers and other permitted entities and the provision of natural medicine services to participants. Not later than January, the department shall adopt rules to establish the qualifications, education, and training requirements that facilitators must meet prior to providing natural medicine services, and to approve any required training programs. Not later than September, the department shall adopt rules necessary to implement the Regulated Natural Medicine Access Program and shall begin accepting applications for licensure by that date with decisions made on all licensing applications within days of receiving the application. For purposes of the Regulated Natural Medicine Access Program set forth in this section: until June, the term natural medicine shall only include psilocybin and psilocyn. After June,  if recommended by the Natural Medicine Advisory Board, the department may add one or more of the following to the term natural medicine: dimethyltryptamine; ibogaine; and mescaline (excluding lophophora williamsii). The Department may prepare proposed rules for the addition of dimethyltryptamine; ibogaine; and mescaline (excluding lophophora williamsii) to the term natural medicine prior to June in the event that dimethyltryptamine; ibogaine; or mescaline (excluding lophophora williamsii) is added to the term natural medicine under subsection of this section. In carrying out its duties under this article, the department shall consult with the Natural Medicine Advisory Board and may also consult with other State agencies or any other individual or entity the Department finds necessary. The rules adopted by the Department shall include, but are not limited to, rules to: establish the requirements governing the safe provision of natural medicine services to participants that include: holding and verifying completion of a preparation session, an administration session, and an integration session. Health and safety warnings that must be provided to participants before natural medicine services begin. Educational materials that must be provided to participants before natural medicine services begin. The form that each facilitator, participant, and authorized representative of a healing center must sign before providing or receiving natural medicine services verifying that the participant was provided accurate and complete health information and informed of identified risk factors and contraindications. Proper supervision during the administration session and safe transportation for the participant when the session is complete. Provisions for group administration sessions where one or more facilitators provide natural medicine services to more than one participant as part of the same administration session. Provisions to allow a facilitator or a healing center to refuse to provide natural medicine services to a participant. The requirements and standards for independent testing of natural medicine for concentration and contaminants, to the extent available technology reasonably permits. The licensure of entities permitted to engage in the testing of natural medicine for use in natural medicine services or otherwise. The standards for advertising and marketing natural medicine and natural medicine services. The standards for qualification as a permitted organization addressing, without limitation, environmental, social, and governance criteria directed to the findings and declarations set forth in section. Establish the requirements governing the licensing and practice of facilitators that include: the form and content of license and renewal applications for facilitators submitted under this article.","The department shall regulate the manufacture, cultivation, testing, storage, transfer, transport, delivery, sale, and purchase of natural medicines. Not later than January, the department shall adopt rules to establish the qualifications, education, and training requirements that facilitators must meet prior to providing natural medicine services."
"The qualifications, education, and training requirements that facilitators must meet prior to providing natural medicine services. The requirements shall: be tiered so as to require varying levels of education and training depending on the participants the facilitator will be working with and the services the facilitator will be providing include education and training on client safety, contraindications, mental health, mental state, physical health, physical state, social and cultural considerations, physical environment, preparation, integration, and ethics; allow for limited waivers of education and training requirements based on an applicant’s prior experience, training, or skill, including, but not limited to, with natural medicines; not impose unreasonable financial or logistical barriers that make obtaining a facilitator license commercially unreasonable for low income people or other applicants; not require a professional license or professional degree other than a facilitator license granted pursuant to this section; allow for paid compensation for natural medicine services; allow for the provision of natural medicine services to more than one participant at a time in group administration sessions.","The qualifications, education, and training requirements that facilitators must meet prior to providing natural medicine services. The requirements shall: be tiered so as to require varying levels of education and training depending on the participants the facilitator will be working with. The services the facilitator will be providing include education and training on client safety, contraindications, mental health, mental state, physical health, physical state, social and cultural considerations, physical environment, preparation, integration, and ethics."
"Oversight and supervision requirements for facilitators, including professional responsibility standards and continuing education requirements: a complaint, review, and disciplinary process for facilitators who engage in misconduct; record keeping, privacy, and confidentiality requirements for facilitators, provided such record keeping does not result in the disclosure to the public or any government agency of personally identifiable information of participants; procedures for suspending or revoking the licenses of facilitators who violate the provisions of this article or the rules adopted by the Department.",Oversight and supervision requirements for facilitators. Procedures for suspending or revoking the licenses of facilitators who violate the provisions of this article or the rules adopted by the Department.
"Establish the requirements governing the licensing and operation of healing centers that include: qualifications for licensure and renewal; oversight requirements for healing centers; record keeping, privacy, and confidentiality requirements for healing centers, provided such record keeping does not result in the disclosure to the public or any government agency of personally identifiable information of participants; security requirements for healing centers, including requirements for protection of each licensed healing center location by a fully operational security alarm system; procedures for suspending or revoking the licenses of healing centers that violate the provisions of this article or the rules adopted by the department; permissible financial relationships between licensed healing centers, facilitators, and other entities; procedures and policies that allow for healing centers to receive payment for services and natural medicines provided; procedures and policies to ensure statewide access to healing centers and natural medicine services; rules that prohibit an individual from having a financial interest in more than five healing centers; rules that allow for healing centers to share the same premises with other healing centers or to share the same premises with health-care facilities; rules that allow for locations not owned by a healing center where natural medicine services may be provided by licensed facilitators, including but not limited to, health-care facilities and private residences.",Rules governing the licensing and operation of healing centers. Procedures and policies to ensure statewide access to healing centers and natural medicine services. Rules that prohibit an individual from having a financial interest in more than five healing centers. Rules that allow for locations not owned by a healing center where natural medicine services may be provided by licensed facilitators.
"Establish procedures, policies, and programs to ensure the Regulatory Access Program is equitable and inclusive and to promote the licensing of and the provision of natural medicine services to persons from communities that have been disproportionately harmed by high rates of controlled substances arrests; to persons who face barriers to access to health care; to persons who have a traditional or indigenous history with natural medicines; or to persons who are veterans that include, but are not limited to: reduced fees for licensure and facilitator training; incentivizing the provision of natural medicine services at a reduced cost to low income individuals; incentivizing geographic and cultural diversity in licensing and the provision and availability of natural medicine services; a process for annually reviewing the effectiveness of such policies and programs promulgated under this subsection.","Establish procedures, policies, and programs to ensure the Regulatory Access Program is equitable and inclusive. Incentivize the provision of natural medicine services at a reduced cost to low income individuals. A process for annually reviewing the effectiveness of such policies and programs promulgated under this subsection."
"Establish application, licensing, and renewal fees for healing center and facilitator licenses. The fees shall be: sufficient, but shall not exceed the amount necessary, to cover the cost of administering the Regulated Natural Medicine Access Program, including the regulated Regulated Natural Medicine Access Program Fund, for licensing and renewal fees, scaled based on either the volume of business of the licensee or the gross annual revenue of the licensee; develop and promote accurate public education campaigns related to the use of natural medicine, including but not limited to public service announcements, educational curricula, and appropriate crisis response, and appropriate training for first- and multi-responders including law enforcement, emergency medical services, social services, and fire services; study and deliver recommendations to the legislature regarding the regulation of dosage for off-site use of natural medicines; collect and annually publish data on the implementation and outcomes of the Regulated Natural Medicine Access Program in accordance with good data and privacy practices and that does not disclose any identifying information about individual licensees or participants; adopt, amend, and repeal rules as necessary to implement the Regulated Natural Medicine Access Program and to protect the public health and safety; participant records collected and maintained by healing centers, facilitators, registered entities, or the department shall constitute medical data as defined by section and are not public records subject to disclosure.","The fees shall be sufficient, but shall not exceed the amount necessary to cover the cost of administering the Regulated Natural Medicine Access Program. The fees shall be scaled based on either the volume of business of the licensee or the gross annual revenue of the licensee."
"The Department shall have the authority to create and issue any additional types of licenses and registrations it deems necessary to carry out the intents and purposes of the Regulated Natural Medicine Access Program, including allowing natural medicine services to be provided at other types of licensed health facilities or by individuals in order to increase access to and the availability of natural medicine services. The Department shall have the authority to adopt rules that differentiate between natural medicines and that regulate each natural medicine differently based on its specific qualities, traditional uses, and safety profile. The Department shall adopt, amend, and repeal all rules in accordance with the State Administrative Procedure Act, as amended, and the rules promulgated thereunder. Natural medicine advisory board the Natural Medicine Advisory Board shall be established within the Department for the purpose of advising the department as to the implementation of the Regulated Natural Medicine Access Program. The Board shall consist of fifteen Members. Members shall be appointed by the Governor, with the consent of the Senate. Members of the initial Board shall be appointed by January. In making the appointments, the Governor shall appoint: at least seven Members with significant expertise and experience in one or more of the following areas: natural medicine therapy, medicine, and research; mycology and natural medicine cultivation; permitted organization criteria; emergency medical services and services provided by first responders; mental and behavioral health providers; health care insurance and health care policy; and public health, drug policy, and harm reduction. At least eight Members with significant expertise and experience in one or more of the following areas: religious use of natural medicines; issues confronting veterans; traditional indigenous use of natural medicines; levels and disparities in access to health care services among different communities; and past criminal justice reform efforts in Colorado. At least one of the eight Members shall have expertise or experience in traditional indigenous use of natural medicines. For the initial board, seven of the Members shall be appointed to a term of two years and eight Members shall be appointed to a term of four years. Each Member appointed thereafter shall be appointed to a term of four years. Members of the Board may serve up to two consecutive terms. Members are subject to removal as provided in the Colorado Constitution. Not later than September and annually thereafter, the Board shall make recommendations to the Department related to, but not limited to, all of the following areas: accurate public health approaches regarding use, effect, and risk reduction for natural medicine and the content and scope of educational campaigns related to natural medicine; research related to the efficacy and regulation of natural medicine, including recommendations related to product safety, harm reduction, and cultural responsibility; the proper content of training programs, educational and experiential requirements, and qualifications for facilitators; affordable, equitable, ethical, and culturally responsible access to natural medicine and requirements to ensure the Regulated Natural Medicine Access Program is equitable and inclusive; appropriate regulatory considerations for each natural medicine; the addition of natural medicines to the Regulated Natural Medicine Access Program under section based on available medical, psychological, and scientific studies, research, and other information related to the safety and efficacy of each natural medicine. All rules to be promulgated by the Department; and requirements for accurate and complete data collection, reporting, and publication of information related to the implementation of this article. The board shall, on an ongoing basis, review and evaluate existing research, studies, and real-world data related to natural medicine and make recommendations to the legislature and other relevant state agencies as to whether natural medicine and associated services should be covered under health first Colorado or other insurance programs as a cost effective intervention for various mental health conditions, including but not limited to end of life anxiety, substance use disorder, alcoholism, depressive disorders, neurological disorders, cluster headaches, and post traumatic stress disorder. The Board shall, on an ongoing basis, review and evaluate sustainability issues related to natural medicine and impact on indigenous cultures and document existing reciprocity efforts and continuing support measures that are needed as part of its annual report. The Board shall publish an annual report describing its activities including the recommendations and advice provided to the department and the legislature. The Department shall provide requested technical, logistical and other support to the board to assist the board with its duties and obligations. This section is repealed effective December.","Natural medicine advisory board the Natural Medicine Advisory Board shall be established within the Department for the purpose of advising the department as to the implementation of the Regulated Natural Medicine Access Program. The Board shall, on an ongoing basis, review and evaluate sustainability issues related to natural medicine and impact on indigenous cultures."
"Regulated Natural Medicine Access Program Fund. The Regulated Natural Medicine Access Program Fund is hereby created in the state treasury. The fund is administered by the department and consists of all money from fees collected and money transferred from the general fund under this article.All interest and income earned on the deposit and investment of money in the fund shall be credited to the fund and shall not be transferred to the general fund or any other state fund at the end of any state fiscal year. The Department may seek, accept, and expend any gifts, grants, donations, loan of funds, property, or any other revenue or aid in any form from the state, any state agency, any other public source, any private source, or any combination thereof, and any such monetary receipts shall be credited to the fund and any such in-kind receipts shall be applied for the benefit of the fund. The money in the fund is continually appropriated to the Department for the direct and indirect costs of carrying out the provisions of this article: funds for the initial establishment and support of the regulatory activities by the department under this article, including the Natural Medicine Advisory Board, the development and promotion of public education campaigns related to the use of natural medicine, and the development of the policies, procedures, and programs required shall be advanced from the general fund to the Regulated Natural Medicine Access Program Fund and shall be repaid to the general fund by the initial proceeds from fees collected pursuant to this article. The Office of State Planning and Budgeting shall determine the amount of the initial advance from the general fund to the Regulated Natural Medicine Access Program Fund based on the estimated costs of establishing the program.",The Regulated Natural Medicine Access Program Fund is hereby created in the state treasury. The fund is administered by the department and consists of all money from fees collected and money transferred from the general fund under this article.
"Localities. A locality may regulate the time, place, and manner of the operation of healing centers licensed pursuant to this article within its boundaries. A locality may not ban or completely prohibit the establishment or operation of healing centers licensed pursuant to this article within its boundaries. A locality may not ban or completely prohibit a licensed health-care facility or individual within its boundaries from providing natural medicine services if the licensed health-care facility or individual is permitted to provide natural medicine services by the Department pursuant to this article. A locality may not prohibit the transportation of natural medicine through its jurisdiction on public roads by a licensee or as otherwise allowed by this article. A locality may not adopt ordinances or regulations that are unreasonable or in conflict with this article, but may enact laws imposing lesser criminal or civil penalties than provided by this article.","A locality may regulate the time, place, and manner of the operation of healing centers licensed pursuant to this article within its boundaries. A locality may not ban or completely prohibit the establishment or operation of healing centers licensed pursuant to this article within its boundaries."
